1	Monkey Wrench
2	Zero
3	Buddy Holly
4	Plush
5	Drive
6	When I Come Around
7	Everything Zen
8	Enter Sandman
9	Crawling in the Dark
10	Song 2
11	Sex Type Thing
12	Counting Blue Cars
13	In Bloom
14	Hash Pipe
15	My Hero
16	Machinehead
17	Holiday
18	Brain Stew
19	Bound for the Floor
20	Cumbersome
21	Lump
22	Hey Jealousy
23	Kryptonite
24	Dammit
25	My Own Worst Enemy
26	The Middle
27	Bullet With Butterfly Wings
28	Beautiful Disaster
29	For Whom The Bell Tolls
30	Fuel
31	What I Got
32	Say It Aint So
33	Shine
34	Basketcase
35	Breed
36	Lithium
37	Undone
38	Story of a Girl
39	Trippin
40	Master of Puppets
41	Inside Out
42	Cherub Rock
43	Beverly Hills
44	Low
45	Closing Time
46	Slayer
47	Happy Birthday
48	December
49	Bouncing off the Walls
50	Kids Arent Alright
51	Satan Song
